202510002;Jorge;Nitales Ríos;24;912345678;70643219;0
202510003;Carlos;Ramirez Huaman;25;987654321;71234567;0
202510004;Elena;Flores del Valle;26;954786321;70829473;0
202510005;Luis;Ticona Quispe;27;998877665;70123456;0
202510006;Ana Lisa;Melano Salas;28;934561278;70987654;0
202510007;Elba;Zurita Castillo;29;945612378;71122334;0
202510008;Marco;Gutierrez Diaz;31;942556789;71233456;1
202510009;Lucia;Reyes Zarate;27;947891234;71344567;0
202510010;Carlos;Paredes Silva;33;946783452;71455678;1
202510011;Andrea;Quispe Rojas;25;943212345;71566789;0
